Simulation,Type,ID,Timestep
5,patient,cdab56b8,1058
5,patient,b196d17f,1073
5,patient,5cc1009a,1080
5,patient,fc079416,1120
6,patient,1b368499,0
6,patient,28978a52,0
6,patient,7ddcd4dd,39
6,patient,95219afa,40
6,patient,835778ad,40
6,worker,00ba0177,40
6,worker,5a23b497,57
6,patient,76ea0e0b,74
6,worker,3cb3657d,74
6,patient,315ecef4,75
6,patient,33871bbf,111
6,worker,459cb04b,117
6,worker,c6174d2f,133
6,worker,7bb183ef,140
6,patient,a13e35f0,141
6,patient,94be13e4,153
6,worker,03f5c5b6,174
6,patient,51386bc5,178
6,patient,2e8b103c,179
6,patient,c726d86e,201
6,patient,03e5ad97,210
6,patient,6b78de1b,248
6,patient,7d1898e1,252
6,patient,6270efbb,253
6,patient,ff69f25e,260
6,patient,b8824bca,267
6,patient,61b58156,297
6,patient,66ba7bf7,302
6,patient,01067a77,317
6,patient,105904f0,339
6,patient,071e466d,407
7,patient,2973296c,0
7,patient,bad34a6c,0
7,patient,d5c7f735,40
7,worker,d4fd3a35,51
7,patient,6fa562b9,58
7,patient,dbbd477a,70
7,patient,dfa56f8a,99
7,worker,498cd548,156
7,worker,cc8c0272,159
7,worker,2805e4d4,171
7,worker,5f22e8c5,171
7,patient,89e5bcac,196
7,patient,567cb71f,198
7,worker,6e4f57c2,199
7,worker,d3bae315,238
7,patient,8a940e8f,244
7,patient,f2f3d92e,254
7,patient,7f76fd9e,267
7,patient,f4cbb897,355
7,patient,82a45ea2,778
7,patient,17460268,785
7,patient,7627e156,796
7,patient,e315236d,825
7,patient,b1551f59,841
7,patient,488ca3bf,858
7,patient,d411e1f1,991
7,patient,1aeff211,993
7,patient,db138907,1000
7,patient,baa0c183,1005
7,patient,a155456d,1086
7,patient,60331a95,1213
8,patient,82e02fa0,0
8,patient,b9306376,0
8,patient,7cff54e9,42
8,patient,a0395260,54
8,patient,59c3c544,73
8,patient,aa2f4d1a,79
8,patient,6b8ae5ac,80
8,worker,02774d00,82
8,patient,a7d4e2c7,95
8,patient,f82b9d45,109
8,patient,72e12b52,119
8,worker,e786faf6,143
8,worker,7cb72964,151
8,worker,f75ced1b,157
8,worker,979f5042,165
8,worker,60633f7f,167
8,patient,e4b49330,169
8,worker,357fd1fd,178
8,patient,ce393c1c,179
8,patient,341b606c,191
8,patient,665b7cb8,222
8,patient,49beea5d,255
8,patient,08aedfaf,266
8,patient,89a3dc04,273
8,patient,f627350a,301
8,patient,86279806,327
8,patient,0fafd2ff,339
8,patient,d99bcb96,378
8,patient,49f375fb,437
8,patient,fc9cf3bc,497
8,patient,d9eb78ad,528
9,patient,dfa1a1c8,0
9,patient,0946cc4d,0
9,worker,c1f5f124,28
9,patient,d81f0293,39
9,worker,363adcd2,43
9,patient,d3402352,52
9,patient,824fc97b,60
9,patient,3652f145,63
9,worker,8ad48b0d,130
9,worker,9ccad272,139
9,worker,d84d51d9,156
9,worker,b2526bb9,160
9,patient,3717faf9,232
9,patient,e975eba1,289
9,worker,6f234d48,295
9,patient,1e5d19f3,367
9,patient,12a7fb24,395
9,patient,c2184c1a,420
9,patient,1af47c5e,428
9,patient,43cc776a,430
9,patient,6314b49a,455
9,patient,860fe8c8,516
9,patient,8155dd7b,542
9,patient,3f8108d7,556
9,patient,86071334,755
9,patient,41dc2fa1,761
9,patient,530eafa8,782
9,patient,9fd9d798,817
9,patient,ad7cecb4,875
9,patient,3080ced7,884
9,patient,f0840c39,908
10,patient,01c65542,0
10,patient,0c01d92e,0
10,worker,44dd50e3,110
10,worker,afe9cbd0,135
10,patient,ffbf2455,140
10,patient,ed64a803,153
10,worker,92e61ad0,169
10,patient,5e8ea79e,173
10,patient,58d4c179,184
10,patient,2a1b54e1,185
10,worker,ed23eb69,198
10,worker,2dbcc399,229
10,patient,2ca1a10a,231
10,worker,77848500,231
10,patient,fd74949d,257
10,patient,77f79529,264
10,worker,bd6931bd,265
10,patient,a4292f45,281
10,patient,f1e30db7,286
10,patient,79ec32a4,301
10,patient,b4d0d175,317
10,patient,2e7fc5fc,318
10,patient,9f36ff1d,322
10,patient,a63a4ed9,331
10,patient,11ad79d0,338
10,patient,f188d80e,353
10,patient,da8f7346,361
10,patient,4deb9290,370
10,patient,e66ca572,372
10,patient,ab3c34ef,399
10,patient,04bd9128,456
11,patient,deee0008,0
11,patient,243f5093,0
11,worker,697c62a2,73
11,patient,83f9ba28,79
11,patient,f7430944,82
11,patient,09611c43,95
11,patient,fb365b9a,115
11,patient,7ebd0e49,126
11,patient,575165fe,128
11,patient,c3be403e,133
11,patient,0593b294,156
11,worker,da7d4a0f,189
11,worker,d25eff7f,194
11,worker,2941ff73,209
11,worker,8572098b,226
11,worker,37e1c0f0,227
11,patient,4deedc7c,228
11,patient,7971d341,230
11,patient,d7b2d30a,235
11,worker,f2da1d99,243
11,patient,801b4463,277
11,patient,7b2b13b9,281
11,patient,96172879,283
11,patient,0499f841,354
11,patient,dba6832a,467
11,patient,a53b2bf8,477
11,patient,8701e6af,487
11,patient,4c24edcb,487
11,patient,3a14c89b,488
11,patient,2506a5f3,533
11,patient,9d62003e,561
12,patient,848e4d3f,0
12,patient,d3756475,0
12,patient,f42cac59,135
12,patient,c18da37c,242
12,patient,5a9d35d3,250
12,patient,186b7923,298
12,patient,67303e80,314
12,patient,bb4df422,331
12,worker,48e1f1c5,337
12,patient,86a6aab8,340
12,worker,b081cd9e,350
12,patient,4a6b4990,355
12,worker,a1686386,359
12,worker,87637392,379
12,patient,9c9fa738,387
12,worker,9561277b,396
12,patient,9cb1d8ff,442
12,worker,44041bba,492
12,patient,c6986693,496
12,patient,6354ee5f,513
12,patient,879a6d70,521
12,worker,b455fdbe,525
12,patient,790430b8,560
12,patient,fba7ac72,571
12,patient,9b927707,655
12,patient,cdaebc98,662
12,patient,6441e7f6,664
12,patient,2cf67af4,741
12,patient,a3f6cacf,778
12,patient,81a819a2,786
12,patient,e5dfdeee,800
13,patient,420e60f0,0
13,patient,330f25fd,0
13,patient,601dbf19,3
13,patient,6df47fc4,61
13,worker,713b3168,74
13,patient,2066cd13,94
13,patient,92883017,101
13,worker,eb9aaa38,105
13,worker,5828207a,117
13,worker,e8c699ff,142
13,worker,01ea95be,177
13,worker,f1846df5,191
13,patient,f2c7dc42,192
13,patient,44867872,204
13,worker,6d107dee,208
13,patient,5d457b05,211
13,patient,f2175bac,213
13,patient,010475dd,230
13,patient,70402646,236
13,patient,10b7957d,239
13,patient,4279eac7,263
13,patient,dd902fea,269
13,patient,462c4771,280
13,patient,14269337,285
13,patient,be185bad,311
13,patient,10816cf1,314
13,patient,9d76ff91,322
13,patient,c777e8b3,326
13,patient,9132056d,337
13,patient,243c805f,341
13,patient,c12c70f0,386
14,patient,a409edc8,0
14,patient,8dc35f01,0
14,worker,e5e57df4,37
14,patient,a6c06953,43
14,worker,8669a81c,73
14,worker,1e5c3146,78
14,patient,e1db9883,90
14,worker,f53d280c,96
14,patient,ca156cf1,107
14,patient,016f4975,128
14,patient,76452625,134
14,worker,ab5f77a2,144
14,patient,5786e186,150
14,worker,653fbba7,150
14,patient,17da1fba,159
14,worker,6cb4970a,206
14,patient,dba6553c,210
14,patient,4103926c,223
14,patient,eada9083,225
14,patient,cf2ca6f1,246
14,patient,367c8435,267
14,patient,0cc444a9,313
14,patient,e1d9a85a,330
14,patient,9b028c07,362
14,patient,b2177e1e,383
14,patient,7b033c2f,388
14,patient,19934e79,403
14,patient,0641555d,404
14,patient,7d826536,406
14,patient,8d79ad5c,464
14,patient,c243c742,646
15,patient,32a9d140,0
15,patient,38506520,0
15,patient,650b506b,55
15,patient,1c2a87fa,70
15,worker,88f47850,75
15,worker,f685c0d7,103
15,patient,94f3fb37,136
15,patient,d4b946f8,139
15,patient,087610dd,151
15,worker,7f68fd1b,158
15,patient,85e569ee,176
15,patient,e665d6aa,208
15,worker,d9e5bf46,220
15,worker,70d3055c,224
15,worker,4d077e81,233
15,patient,197d92df,234
15,worker,6d1179ec,235
15,patient,8511f52f,243
15,patient,81506dad,264
15,patient,0e3951db,268
15,patient,466ff0c5,269
15,patient,f0956322,279
15,patient,008b7c66,280
15,patient,ce5a0c9b,312
15,patient,e70bad75,381
15,patient,c51c131c,673
15,patient,7ff77669,692
15,patient,8a1f23e0,716
15,patient,d9eb3d3a,724
15,patient,c6a19b85,733
15,patient,70611799,768
16,patient,469a8984,0
16,patient,d74ffd25,0
16,patient,62d8f17e,48
16,worker,418eec07,67
16,patient,90570230,70
16,patient,38ad2929,70
16,worker,301f8314,100
16,patient,e1be9b36,133
16,worker,9b2605c1,159
16,worker,8abf681c,172
16,worker,02f3261c,174
16,worker,8a2984c1,179
16,patient,e5f8fd0f,189
16,patient,0c1efb32,214
16,patient,8770b171,222
16,patient,589fc6ae,227
16,worker,6b6c017b,242
16,patient,6db739e7,243
16,patient,eb5a5451,245
16,patient,1d43af81,246
16,patient,f234a30b,251
16,patient,13c28dc0,256
16,patient,3bc0cf7a,276
16,patient,8553ee15,285
16,patient,35aefe53,298
16,patient,72e6e7d6,316
16,patient,8f1515da,324
16,patient,92cd0fd6,345
16,patient,94b2a41d,352
16,patient,f1d4a890,353
16,patient,23c0b1e1,395
17,patient,ab00569e,0
17,patient,112eace7,0
17,patient,58621a7e,18
17,worker,26e5c9cc,23
17,worker,e36751e4,28
17,worker,d37502b5,52
17,worker,93f239e1,57
17,worker,75f1958c,65
17,worker,b4607fc8,68
17,worker,5443f95d,77
17,patient,442e2ca8,89
17,patient,e68b7e4b,89
17,patient,6b9e4263,107
17,patient,f4d715fe,112
17,patient,ba18178e,123
17,patient,2215fb53,125
17,patient,56229309,148
17,patient,779a1047,176
17,patient,dfc335a2,178
17,patient,60c81da9,179
17,patient,917363a0,185
17,patient,2b0246b5,198
17,patient,3983100d,199
17,patient,190c69bd,205
17,patient,79500687,266
17,patient,9f047cf4,355
17,patient,c8591269,376
17,patient,0d3dd150,382
17,patient,db810ea4,433
17,patient,fc0a42a5,449
17,patient,6275ccb8,500
18,patient,e3a65b62,0
18,patient,6cc76172,0
18,patient,1a9e8904,18
18,worker,bcec38e7,22
18,patient,022ee5d5,42
18,worker,5b1d6c78,42
18,worker,e1881333,47
18,patient,23d484ca,49
18,worker,f1da0f16,68
18,patient,3be480ee,86
18,patient,f8227c5b,99
18,patient,5652b602,100
18,patient,a696a0fc,104
18,worker,6a5045ee,107
18,patient,80f70a7e,134
18,patient,647f53fd,142
18,patient,cc2fe6bf,144
18,worker,f548ba43,149
18,worker,facdab90,151
18,patient,370b2afb,156
18,patient,c0ed4efd,164
18,patient,d969c5d7,166
18,patient,35ee3590,175
18,patient,c45a683a,176
18,patient,925526b7,233
18,patient,7f12e714,239
18,patient,d171b8be,261
18,patient,ea06c24b,286
18,patient,9e785af7,306
18,patient,b27e2d9d,317
18,patient,41120bfe,358
19,patient,4d1b2248,0
19,patient,e6e6f054,0
19,patient,30e7b862,16
19,worker,8847c055,35
19,patient,ca4ed0e7,40
19,worker,b28f74f3,49
19,patient,f551ce2e,53
19,patient,a016f0dd,58
19,patient,d345a0bd,60
19,patient,1bafef07,64
19,worker,3c8c3dfd,66
19,patient,4c4fceab,71
19,patient,9e90556f,72
19,worker,e05a1b38,97
19,worker,41512cac,114
19,patient,4518ebd0,125
19,worker,1ec79255,202
19,worker,66dfd4b7,270
19,patient,9b8f819c,273
19,patient,1615c1c0,337
19,patient,675724e4,351
19,patient,7c420f0e,356
19,patient,5afc6d9c,380
19,patient,251b961f,380
19,patient,30d92bd7,516
19,patient,aa293e42,764
19,patient,d0bc3bbd,804
19,patient,d0242079,817
19,patient,063439d2,819
19,patient,ef90e8b9,854
19,patient,620bce17,908
20,patient,3ebfae42,0
20,patient,d8f33d60,0
20,patient,b5973d0e,23
20,worker,dd34792e,26
20,patient,b4687358,32
20,patient,e4718511,37
20,worker,34991ec7,41
20,worker,ae7cacab,46
20,worker,549aeb9d,55
20,worker,39f68c19,60
20,patient,a9b6744a,62
20,patient,2c58a66a,68
20,patient,2749461e,69
20,patient,67c9fdb5,72
20,patient,6cd30fe1,107
20,patient,8e66ed99,109
20,worker,767867d7,166
20,patient,2262390d,193
20,worker,fe0f597a,198
20,patient,60c7654f,227
20,patient,c55139a0,229
20,patient,4c32f696,237
20,patient,9d275f4c,238
20,patient,57804b00,257
20,patient,79549c27,260
20,patient,33502cd5,319
20,patient,96925ce5,320
20,patient,b7af2860,427
20,patient,7ee6a45f,436
20,patient,beb3e855,442
20,patient,d9f0da2d,457
21,patient,e5275380,0
21,patient,f645a68e,0
21,patient,f8f5935e,6
21,patient,a5a38498,28
21,patient,f267e260,38
21,patient,c28c4dec,49
21,worker,57c0df01,54
21,worker,0c18d07a,76
21,worker,bc75eac7,95
21,worker,1776f69b,97
21,patient,d085a328,102
21,worker,0a35a8ab,107
21,worker,45dfb870,109
21,patient,2b66546a,112
21,worker,8dee3f6b,128
21,patient,288af31e,146
21,patient,3a512a51,151
21,patient,7444530a,170
21,patient,1453ac98,238
21,patient,cf6afd03,251
21,patient,2908174a,253
21,patient,16c23e94,280
21,patient,ff630508,314
21,patient,86c6c43f,355
21,patient,23e9657d,527
21,patient,f5ff3db9,601
21,patient,c9f9925c,609
21,patient,f2836fd5,634
21,patient,eac06139,638
21,patient,ded3f1b5,640
21,patient,4b636004,658
22,patient,d99d4c84,0
22,patient,46ab6301,0
22,worker,2dfc8c3c,20
22,patient,f266bd77,41
22,patient,07570525,94
22,patient,5d274a15,119
22,patient,fcd79155,163
22,patient,2f3b9d95,194
22,worker,47cfc2b8,200
22,worker,06844ac4,225
22,worker,1217c04c,225
22,patient,00319d21,233
22,worker,defe563f,238
22,worker,ae882fcc,243
22,patient,f941734e,251
22,worker,16cec517,261
22,patient,a05d004b,276
22,patient,3d9bb8ae,296
22,patient,e1f1fa4f,297
22,patient,6e42dfe7,301
22,patient,f2852402,305
22,patient,a72c9ebf,333
22,patient,5ea4a479,337
22,patient,49b9b82f,425
22,patient,2c3b1995,500
22,patient,f7fc4dfd,921
22,patient,59368a1f,939
22,patient,52734086,945
22,patient,45d263b5,945
22,patient,0eeab866,1057
22,patient,b7d0ef25,1143
23,patient,2d0b2bb3,0
23,patient,bec98262,0
23,worker,cdda8986,43
23,patient,3daf4e21,47
23,worker,243ea1c6,58
23,worker,95b09611,60
23,patient,7459d60a,69
23,patient,fbefd6c8,73
23,patient,bd2d8734,79
23,patient,c09f0405,80
23,worker,1136c3a6,85
23,patient,13837c59,89
23,worker,00af84b6,97
23,patient,ca427e0e,103
23,patient,90ee676b,108
23,patient,f60e65d9,119
23,worker,a56c5f02,120
23,patient,37183b2b,123
23,worker,2113dca2,127
23,patient,0c47b9cd,321
23,patient,8a5030a7,348
23,patient,e0c62322,352
23,patient,b9622a04,463
23,patient,10c5cd0d,487
23,patient,740b6780,508
23,patient,b479f882,512
23,patient,fad12c13,518
23,patient,b51c78f3,534
23,patient,b1fc8fc4,560
23,patient,23813ddb,577
23,patient,ea507702,778
24,patient,c5fdf31b,0
24,patient,c259ea9a,0
24,worker,56362039,14
24,worker,273688e8,20
24,patient,b073ad3b,25
24,patient,3f73f496,29
24,worker,92c91188,44
24,patient,310720ba,63
24,patient,b7fb058d,65
24,patient,ba69583e,94
24,worker,64e97244,106
24,patient,fe3cc743,110
24,worker,255703c0,133
24,patient,000fd0df,139
24,patient,9e3192dd,167
24,patient,72784912,167
24,worker,b2e14d37,190
24,patient,9fdc054e,203
24,worker,d7975117,247
24,patient,0890308c,276
24,patient,445c840b,277
24,patient,a452da08,295
24,patient,e98eae22,298
24,patient,24455d87,301
24,patient,b8f1ce4f,348
24,patient,52a7d79b,784
24,patient,849c2b46,794
24,patient,c86cf204,821
24,patient,3385e100,827
24,patient,a18eb2fc,846
24,patient,45d6801f,853
